                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.0595,                0.77876,                0.86929,                0.50719,                0.38112,                0.39221,                0.23676,                 1.0739,                 0.8608,                 0.8684,               0.005578,               0.005578,               0.005578
                     70,                 1.0596,                0.77502,                0.86722,                0.51507,                0.38311,                0.39123,                 0.2364,                  1.076,                0.86167,                0.86903,               0.005512,               0.005512,               0.005512
                     71,                 1.0605,                0.77341,                0.86758,                0.52391,                0.37891,                0.39515,                0.23727,                 1.0751,                0.86599,                0.86942,               0.005446,               0.005446,               0.005446
                     72,                 1.0622,                0.77553,                 0.8675,                0.52493,                0.38076,                0.39463,                0.23842,                 1.0745,                0.86253,                0.86961,                0.00538,                0.00538,                0.00538
                     73,                 1.0524,                0.76636,                0.86751,                0.50707,                0.38686,                0.39696,                0.23865,                 1.0772,                0.86376,                0.86984,               0.005314,               0.005314,               0.005314
                     74,                 1.0537,                0.76797,                0.86682,                0.50502,                0.38794,                0.39699,                0.23908,                 1.0729,                0.86271,                0.86863,               0.005248,               0.005248,               0.005248
                     75,                 1.0494,                0.76202,                0.86577,                0.50785,                 0.3862,                0.39619,                0.23785,                 1.0759,                0.86792,                0.86997,               0.005182,               0.005182,               0.005182
                     76,                 1.0471,                0.75586,                0.86697,                0.51005,                0.38605,                0.39686,                0.23729,                 1.0772,                0.86443,                0.86963,               0.005116,               0.005116,               0.005116
                     77,                 1.0524,                0.76166,                0.86575,                0.52147,                0.38543,                0.39801,                0.23853,                 1.0735,                 0.8651,                0.86864,                0.00505,                0.00505,                0.00505
                     78,                 1.0457,                0.75517,                0.86513,                0.50959,                0.38544,                0.39686,                0.23803,                 1.0713,                0.86405,                0.86799,               0.004984,               0.004984,               0.004984
                     79,                 1.0452,                0.75473,                0.86409,                0.50568,                0.38566,                0.39843,                0.23838,                 1.0748,                  0.865,                0.86847,               0.004918,               0.004918,               0.004918
                     80,                 1.0481,                0.75534,                0.86544,                 0.5237,                0.38258,                 0.3987,                0.23937,                 1.0709,                0.86101,                  0.868,               0.004852,               0.004852,               0.004852
                     81,                 1.0415,                0.74566,                0.86409,                0.50557,                 0.3897,                 0.3986,                  0.238,                 1.0748,                 0.8631,                0.86848,               0.004786,               0.004786,               0.004786
