                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.1073,                0.76957,                0.86779,                0.51587,                0.38713,                0.39931,                0.24065,                 1.1242,                0.85887,                0.86951,               0.005512,               0.005512,               0.005512
                     71,                 1.1087,                0.76458,                0.86873,                0.52506,                0.38561,                 0.3983,                0.23949,                 1.1238,                0.85749,                0.86923,               0.005446,               0.005446,               0.005446
                     72,                 1.1063,                 0.7654,                0.86825,                0.51677,                0.38379,                0.39865,                0.23884,                 1.1234,                0.86294,                0.86896,                0.00538,                0.00538,                0.00538
                     73,                 1.1021,                 0.7574,                 0.8661,                 0.5255,                0.39032,                0.39851,                0.23839,                  1.127,                0.86582,                0.87045,               0.005314,               0.005314,               0.005314
                     74,                 1.1005,                0.75473,                0.86555,                0.52207,                0.39146,                 0.3998,                0.23998,                 1.1233,                 0.8614,                0.86946,               0.005248,               0.005248,               0.005248
                     75,                 1.0954,                0.75127,                0.86607,                0.51253,                0.39193,                0.40047,                0.24032,                 1.1221,                 0.8602,                0.86944,               0.005182,               0.005182,               0.005182
                     76,                 1.0988,                0.75538,                 0.8663,                0.51105,                0.39028,                0.40025,                0.24111,                 1.1202,                0.85778,                0.86862,               0.005116,               0.005116,               0.005116
                     77,                 1.0961,                0.74962,                0.86623,                0.51602,                0.39023,                0.40139,                0.24081,                 1.1227,                  0.856,                0.86876,                0.00505,                0.00505,                0.00505
                     78,                  1.098,                0.74952,                0.86608,                0.51861,                0.38898,                0.40173,                0.24189,                 1.1236,                 0.8594,                0.86909,               0.004984,               0.004984,               0.004984
                     79,                 1.0958,                0.74753,                0.86559,                 0.5143,                0.38964,                0.39995,                0.24007,                 1.1241,                0.85917,                0.86878,               0.004918,               0.004918,               0.004918
                     80,                 1.0915,                0.74185,                0.86335,                0.51358,                 0.3904,                 0.4009,                0.24135,                 1.1241,                0.85944,                0.86817,               0.004852,               0.004852,               0.004852
                     81,                 1.0938,                0.74131,                0.86469,                0.52679,                0.38597,                0.40292,                0.24152,                 1.1241,                0.86023,                0.86888,               0.004786,               0.004786,               0.004786
                     82,                 1.0948,                0.74053,                0.86481,                 0.5212,                0.38771,                0.40174,                0.24098,                 1.1214,                0.85995,                 0.8692,                0.00472,                0.00472,                0.00472
                     83,                 1.0903,                0.73787,                0.86453,                0.52361,                0.39195,                0.40323,                0.24134,                 1.1201,                0.85673,                0.86828,               0.004654,               0.004654,               0.004654
                     84,                 1.0884,                0.73608,                0.86347,                0.51785,                0.38878,                0.40287,                0.24314,                 1.1224,                0.85513,                0.86914,               0.004588,               0.004588,               0.004588
                     85,                 1.0876,                0.73449,                0.86251,                0.51208,                0.39663,                0.40669,                0.24517,                 1.1207,                0.85332,                0.86828,               0.004522,               0.004522,               0.004522
                     86,                 1.0931,                 0.7336,                0.86442,                0.52055,                0.39206,                0.40532,                0.24493,                 1.1203,                0.85455,                 0.8679,               0.004456,               0.004456,               0.004456
                     87,                 1.0862,                0.72855,                0.86284,                0.51626,                0.38997,                0.40331,                0.24257,                 1.1201,                0.85448,                 0.8676,                0.00439,                0.00439,                0.00439
                     88,                 1.0818,                0.72788,                0.86316,                0.51352,                0.39368,                  0.405,                0.24398,                  1.119,                0.85408,                0.86725,               0.004324,               0.004324,               0.004324
                     89,                 1.0826,                0.72488,                0.86223,                0.50786,                0.39857,                0.40498,                0.24296,                 1.1194,                0.85375,                  0.867,               0.004258,               0.004258,               0.004258
                     90,                 1.0846,                0.72513,                0.86197,                0.51283,                0.39948,                0.40596,                0.24358,                 1.1187,                0.85198,                  0.867,               0.004192,               0.004192,               0.004192
                     91,                 1.0751,                0.71829,                 0.8613,                0.51562,                0.40023,                0.40834,                0.24499,                 1.1187,                0.85259,                0.86653,               0.004126,               0.004126,               0.004126
                     92,                 1.0757,                0.71961,                0.86254,                0.51599,                0.39624,                0.40633,                0.24329,                 1.1205,                0.85276,                0.86697,                0.00406,                0.00406,                0.00406
                     93,                 1.0732,                0.71723,                0.86261,                0.52094,                 0.3906,                0.40499,                0.24341,                 1.1174,                0.85394,                0.86656,               0.003994,               0.003994,               0.003994
                     94,                 1.0789,                0.71766,                0.86257,                0.51897,                0.39101,                0.40474,                0.24397,                 1.1186,                0.85706,                0.86685,               0.003928,               0.003928,               0.003928
                     95,                 1.0662,                0.70801,                0.86111,                0.51627,                0.39399,                0.40374,                0.24339,                  1.119,                0.85482,                0.86682,               0.003862,               0.003862,               0.003862
                     96,                 1.0746,                0.71318,                0.86046,                0.51726,                0.39074,                 0.4027,                0.24217,                 1.1196,                0.85524,                0.86704,               0.003796,               0.003796,               0.003796
                     97,                 1.0623,                0.70324,                0.85951,                0.52132,                0.39095,                0.40334,                0.24298,                 1.1207,                0.85944,                0.86735,                0.00373,                0.00373,                0.00373
                     98,                 1.0701,                0.71009,                0.86107,                0.52756,                0.38914,                0.40233,                0.24214,                 1.1216,                0.85876,                0.86755,               0.003664,               0.003664,               0.003664
                     99,                 1.0735,                0.70822,                0.85947,                0.52276,                0.38892,                0.40323,                0.24222,                 1.1223,                0.85771,                0.86734,               0.003598,               0.003598,               0.003598
                    100,                 1.0675,                0.70544,                 0.8581,                 0.5172,                0.39098,                0.40196,                0.24114,                 1.1219,                0.85812,                 0.8672,               0.003532,               0.003532,               0.003532
                    101,                 1.0663,                0.70185,                0.85921,                0.51881,                0.39406,                0.40228,                0.24163,                 1.1214,                0.85736,                0.86704,               0.003466,               0.003466,               0.003466
                    102,                 1.0626,                0.69943,                 0.8584,                0.52004,                0.39299,                0.40265,                0.24138,                 1.1221,                0.85593,                 0.8674,                 0.0034,                 0.0034,                 0.0034
                    103,                 1.0614,                0.69895,                0.85799,                0.52754,                0.39175,                0.40475,                0.24249,                  1.123,                0.85517,                0.86761,               0.003334,               0.003334,               0.003334
                    104,                 1.0666,                0.69994,                0.85984,                0.53261,                0.38905,                0.40479,                0.24312,                 1.1208,                0.85618,                0.86733,               0.003268,               0.003268,               0.003268
                    105,                 1.0613,                0.69409,                0.85761,                0.53195,                0.38803,                0.40347,                0.24189,                 1.1209,                0.85828,                 0.8676,               0.003202,               0.003202,               0.003202
                    106,                 1.0573,                0.69273,                0.85793,                0.52464,                0.39033,                0.40437,                0.24217,                 1.1219,                 0.8598,                0.86771,               0.003136,               0.003136,               0.003136
                    107,                 1.0569,                0.69096,                0.85641,                0.52519,                0.39013,                0.40363,                 0.2417,                 1.1214,                0.85948,                0.86751,                0.00307,                0.00307,                0.00307
                    108,                 1.0565,                0.68853,                0.85533,                0.52075,                0.39239,                0.40293,                0.24084,                 1.1228,                0.86026,                0.86784,               0.003004,               0.003004,               0.003004
                    109,                 1.0522,                0.68358,                 0.8572,                0.52043,                0.39377,                0.40144,                 0.2406,                 1.1229,                0.86123,                 0.8678,               0.002938,               0.002938,               0.002938
                    110,                 1.0584,                0.68904,                0.85668,                0.52284,                 0.3953,                0.40269,                0.24123,                  1.124,                0.86054,                0.86815,               0.002872,               0.002872,               0.002872
                    111,                  1.051,                0.68374,                0.85655,                0.51926,                0.39785,                0.40392,                0.24216,                 1.1234,                0.85916,                0.86846,               0.002806,               0.002806,               0.002806
                    112,                 1.0558,                0.68245,                0.85576,                0.51808,                0.39425,                0.40319,                0.24247,                 1.1225,                0.85863,                0.86821,                0.00274,                0.00274,                0.00274
                    113,                 1.0463,                0.67592,                0.85647,                0.52514,                0.39275,                0.40296,                0.24217,                 1.1229,                 0.8582,                0.86834,               0.002674,               0.002674,               0.002674
                    114,                 1.0466,                0.67805,                0.85514,                0.52737,                0.39127,                 0.4025,                0.24157,                 1.1227,                0.85907,                0.86827,               0.002608,               0.002608,               0.002608
                    115,                 1.0506,                0.67611,                0.85512,                0.52866,                0.39039,                0.40337,                0.24193,                 1.1222,                0.85933,                0.86813,               0.002542,               0.002542,               0.002542
                    116,                 1.0434,                0.67169,                0.85562,                0.52301,                0.39372,                0.40369,                0.24226,                 1.1212,                 0.8593,                0.86802,               0.002476,               0.002476,               0.002476
                    117,                 1.0465,                 0.6723,                0.85423,                0.52678,                0.39063,                0.40384,                0.24244,                 1.1214,                0.85997,                0.86791,                0.00241,                0.00241,                0.00241
                    118,                 1.0415,                 0.6678,                0.85391,                0.52472,                0.39436,                0.40435,                0.24275,                 1.1205,                0.85994,                0.86778,               0.002344,               0.002344,               0.002344
                    119,                  1.043,                0.67017,                0.85512,                 0.5287,                0.39139,                0.40343,                0.24204,                   1.12,                0.85996,                0.86769,               0.002278,               0.002278,               0.002278
                    120,                 1.0401,                0.66807,                0.85381,                0.52919,                0.39068,                 0.4036,                0.24197,                 1.1199,                0.86025,                0.86756,               0.002212,               0.002212,               0.002212
                    121,                 1.0399,                 0.6654,                0.85446,                0.52846,                0.39093,                0.40325,                  0.242,                 1.1202,                0.86054,                0.86756,               0.002146,               0.002146,               0.002146
                    122,                 1.0368,                 0.6611,                0.85317,                0.52183,                 0.3944,                0.40304,                0.24207,                 1.1206,                0.86153,                0.86768,                0.00208,                0.00208,                0.00208
                    123,                 1.0378,                0.66296,                0.85311,                0.52032,                0.39668,                0.40307,                0.24281,                 1.1204,                0.86134,                 0.8677,               0.002014,               0.002014,               0.002014
                    124,                 1.0342,                0.66194,                0.85303,                0.52046,                0.39636,                 0.4029,                0.24271,                 1.1211,                0.86177,                0.86789,               0.001948,               0.001948,               0.001948
                    125,                 1.0356,                0.65959,                0.85282,                0.52393,                0.39481,                0.40319,                0.24294,                 1.1219,                0.86249,                0.86809,               0.001882,               0.001882,               0.001882
                    126,                 1.0311,                0.65433,                0.85216,                0.51992,                0.39624,                0.40345,                0.24253,                 1.1226,                0.86223,                0.86814,               0.001816,               0.001816,               0.001816
                    127,                 1.0364,                0.65615,                0.85313,                0.52525,                 0.3946,                0.40347,                0.24253,                 1.1227,                 0.8627,                0.86814,                0.00175,                0.00175,                0.00175
